from_station_id,to_station_id,count,from_station_addy,to_station_addy,from_station_lng,to_station_lng,from_station_lat,to_station_lat,polyline,distance,time
76,35,6182,Lake Shore Dr & Monroe St,Streeter Dr & Illinois St,-87.616743,-87.6122,41.880958,41.891071,{zr~F~swuO@v@?\??k@Ai@?k@CeAKKEYI_@U??q@y@i@y@_@eAMk@WoBOu@g@yAw@qAWY{@q@}@g@??QIMGo@Oo@G_AB_AFaCPgCRUDI@SLKAGBYVQVKLMFM@G?I?c@?M?{@@iA@??mBUqDYeACI?IAu@?a@@???O?eAAmF,0.912,130
35,76,3945,Streeter Dr & Illinois St,Lake Shore Dr & Monroe St,-87.6122,-87.616743,41.891071,41.880958,ozt~FdwvuOA{B??eDD??@jABhFDvBDzB??xCM~A?H?dAA^AnDC??NI|@?L?|@AnAAd@?n@AFDVC??HAJK\SREN?tBIhEEp@@TDn@NLFb@VNPNFPJn@j@n@v@V`@j@pA`AtC^z@Zj@r@t@`@Zn@^XJr@P`@D|@BfA????u@?]Aw@,1.101,156
268,35,3740,Lake Shore Dr & North Blvd,Streeter Dr & Illinois St,-87.626804,-87.6122,41.911722,41.891071,y{x~FnqyuOA?wAp@??Ae@@SFWTOTIvBc@LAREx@G~AYbBCZAvBIvBUtDm@tGcApFy@VCpCa@~@OhCe@lAY~@a@t@k@n@q@HMNSh@eAXs@`@gBPwAHgBHsEFy@Rk@Vc@f@c@dAk@dAm@FExA{@hC{AHGfAo@`DkBtCcB^UzFoDnAq@tBqAd@Yr@c@??tAc@dAm@XKj@Od@Cn@CJ???jBA??xCM??AaB?O?eAAmF,1.857,179
177,35,3614,Theater on the Lake,Streeter Dr & Illinois St,-87.630834,-87.6122,41.926277,41.891071,yu{~FrkzuOJfAD^NdB??~@[f@WpBkAdD_B`ASpOeDjHcA|AYbCi@rCu@zAe@vDuA|Ao@bAg@fDyAvIgDLGTIxAk@\M~@Sb@Ej@?z@AvCCbBCZAvBIvBUtDm@tGcApFy@VCpCa@~@OhCe@lAY~@a@t@k@n@q@HMNSh@eAXs@`@gBPwAHgBHsEFy@Rk@Vc@f@c@dAk@dAm@FExA{@hC{AHGfAo@`DkBtCcB^UzFoDnAq@tBqAd@Yr@c@??tAc@dAm@XKj@Od@Cn@CJ???jBA??xCM??AaB?O?eAAmF,2.854,245
35,268,3297,Streeter Dr & Illinois St,Lake Shore Dr & North Blvd,-87.6122,-87.626804,41.891071,41.911722,ozt~FdwvuOA{B??eDD??@jABhF??G`ACLENOL_@FkAHUBa@JSHm@XmA|@i@b@y@~@iAr@gBhAcDjB}EtCoHnEi@ZsGvDWLe@VwAx@g@b@OTYl@Qt@KbBMrEKjAIf@Kf@a@pAQ`@[j@KPo@r@[Xw@d@]LgAZwCl@u@LqATaANeG`AaLdBcC^{@FqAB??uAQiBB{ACaAGi@IaAKm@Ca@?y@Hs@NMFUXMZOR??RRFRzAzAd@v@HT??PI`@UvAq@@?,2.049,209
35,90,3081,Streeter Dr & Illinois St,Millennium Park,-87.6122,-87.62408432,41.891071,41.8810317,ozt~FdwvuOA{B??eDD??@jABhFDvBDzB??xCM~A?H?dAA^AnDC??NI|@?L?|@AnAAd@?n@AFDVC??HAJK\SREN?tBIhEEp@@TDn@NLFb@VNPNFPJn@j@n@v@V`@j@pA`AtC^z@Zj@r@t@`@Zn@^XJr@P`@D|@BfA????^@dB@nC?hA?pA?zA@`B?X?X@d@FpE@vA?B@t@?HAJ?f@?d@?hA?fB??QAS?,1.426,226
35,177,3014,Streeter Dr & Illinois St,Theater on the Lake,-87.6122,-87.630834,41.891071,41.926277,ozt~FdwvuOA{B??eDD??@jABhF??G`ACLENOL_@FkAHUBa@JSHm@XmA|@i@b@y@~@iAr@gBhAcDjB}EtCoHnEi@ZsGvDWLe@VwAx@g@b@OTYl@Qt@KbBMrEKjAIf@Kf@a@pAQ`@[j@KPo@r@[Xw@d@]LgAZwCl@u@LqATaANeG`AaLdBcC^{@FqABaCB{CFk@@c@@}@FeAPi@P_Bp@WJMF{KhEmAh@u@\k@VsChAoDlAmEjA}Cn@{AVyDf@wAToPnD??kCHaA?oB?e@@w@J??B\,2.838,230
85,35,2482,Michigan Ave & Oak St,Streeter Dr & Illinois St,-87.62377664,-87.6122,41.90096039,41.891071,iwv~Fp_yuOAMMkOCcCA{@@UDYLWTSf@YnAu@~CeB~BwAZQFE|CiBfBgAbAq@??@^?f@?j@@l@?v@DfGCLA~@@dA?\??F?F?nB?lA?~CE|CGnAAHDhABv@@dB?~CE??lB?n@???A]@kB?mEEuD?iAC}BCgEAcB?s@?yBAaB?O?eAAmF,1.509,239
85,177,2391,Michigan Ave & Oak St,Theater on the Lake,-87.62377664,-87.630834,41.90096039,41.926277,iwv~Fp_yuO?p@q@O}Ci@MCa@Ie@Cu@@m@Fe@JkCbAmA^c@LaIxAwAj@aLdBcC^{@FqABaCB{CFk@@c@@}@FeAPi@P_Bp@WJMF{KhEmAh@u@\k@VsChAoDlAmEjA}Cn@{AVyDf@wAToPnD??kCHaA?oB?e@@w@J??B\,1.825,148
177,85,2186,Theater on the Lake,Michigan Ave & Oak St,-87.630834,-87.62377664,41.926277,41.90096039,yu{~FrkzuOJfAD^NdB??~@[f@WpBkAdD_B`ASpOeDjHcA|AYbCi@rCu@zAe@vDuA|Ao@bAg@fDyAvIgDLGTIxAk@\M~@Sb@Ej@?z@AvCCbBCZAvBIvBUtDm@tGcApFy@VC??lA@dAEFAl@GbCe@xA]zBy@PE^???f@?d@DLDh@Al@B\BT????WAU???q@,1.877,180
35,85,2052,Streeter Dr & Illinois St,Michigan Ave & Oak St,-87.6122,-87.62377664,41.891071,41.90096039,ozt~FdwvuOA{B??eDD??@jABhF??G`ACLENOL_@FkAHUBa@JSHm@XmA|@i@b@y@~@iAr@gBhAcDjB}EtC??L\BV??cAp@gBfA}ChBGD[P_CvA_DdBoAt@g@XURMVEXAT@z@BbCLjO@L,1.108,148
90,35,2032,Millennium Park,Streeter Dr & Illinois St,-87.62408432,-87.6122,41.8810317,41.891071,m{r~FlbyuOUAS?sAG_@@o@?G?U?oEDcBDM@M@o@Dk@BWBqBFqABaABgB?gA@S@K?]@I?yC?kA?E????M@sA@yDLcCDWFk@Hy@LkALmB@U@M?W@QDyA??A[DUFM@OTcJH[??Bw@?g@@[HcFDuD@e@BwB?MEIOC??a@AM@G?I?c@?M?{@@iA@??mBUqDYeACI?IAu@?a@@???O?eAAmF,1.373,259
3,76,1891,Shedd Aquarium,Lake Shore Dr & Monroe St,-87.61535539,-87.616743,41.86722596,41.880958,uap~F|cwuOFHDDL@NA|@UNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEB???]Aw@,1.522,208
3,35,1766,Shedd Aquarium,Streeter Dr & Illinois St,-87.61535539,-87.6122,41.86722596,41.891071,uap~F|cwuOFHDDL@NA|@UNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEBk@Ai@?k@CeAKKEYI_@U??q@y@i@y@_@eAMk@WoBOu@g@yAw@qAWY{@q@}@g@??QIMGo@Oo@G_AB_AFaCPgCRUDI@SLKAGBYVQVKLMFM@G?I?c@?M?{@@iA@??mBUqDYeACI?IAu@?a@@???O?eAAmF,2.391,322
341,76,1764,Adler Planetarium,Lake Shore Dr & Monroe St,-87.607267,-87.616743,41.866095,41.880958,w~o~FfyuuOCCm@@CB@~O?XH|M?^@tA?f@?r@Bl@DXPPVHNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEB???]Aw@,1.862,294
